Network,Station,Latitude,Longitude,Elevation_m,Site
AK,WAT4,62.8349,-147.9421,1191.0,"Susitna Watana 4, AK, USA"
AK,WAT5,63.0624,-148.2286,1691.0,"Susitna Watana 5, AK, USA"
AK,WAT6,62.5808,-147.74,1681.0,"Susitna Watana 6, AK, USA"
AK,WAT7,62.8331,-148.8476,1232.0,"Susitna Watana 7, AK, USA"
AK,WAX,60.448,-142.8529,1003.0,"Waxell Ridge, AK, USA"
AK,WRH,64.4716,-148.0918,329.0,"Wood River Hill, AK, USA"
AK,YAH,60.3583,-141.751,2125.0,"Yahtse, AK, USA"
AK,YAKA,59.5123,-139.672,8.0,"Yakutat, AK, USA"
AK,YAN2,63.6559,-148.7749,781.0,"Yanert, AK, USA"
AV,ACH,58.21,-155.3281,960.0,"Angle Creek Headwaters, Katmai, Alaska"
AV,ADAG,51.98004,-176.60023,293.0,"Mount Adagdak, Regional Station, Alaska"
AV,ADKI,51.8617,-176.6448,6.0,"Adak Infrasound Array, Adak Island, Alaska"
AV,AHB,54.115339,-165.8161,411.0,"Akutan Harbor, Akutan Volcano, Alaska"
AV,AJAX,56.8887,-158.2238,967.0,"Aniakchak, Aniakchak Jack, Alaska"
AV,AKBB,54.0975,-165.9338,310.0,"Akutan Broad Bright, Akutan Volcano, Alaska"
AV,AKGG,54.1979,-165.9936,326.0,"Akutan Green Grass, Akutan Volcano, Alaska"
AV,AKHS,54.1533,-165.8868,553.0,"Akutan Hot Springs Bay, Akutan Volcano, Alaska"
AV,AKLV,54.162633,-165.95563,528.0,"Akutan Long Valley, Akutan Volcano, Alaska"
AV,AKMO,54.0903,-166.0126,277.0,"Akutan Morgan, Akutan Volcano, Alaska"
AV,AKRB,54.1292,-166.0708,334.0,"Akutan Reef Bight, Akutan Volcano, Alaska"
AV,AKS,54.11047,-165.69691,219.5,"Akutan Strait, Akutan Volcano, Alaska"
AV,AKSA,54.11047,-165.69691,219.5,"Akutan Strait, Akutan Volcano, Alaska"
AV,AKT,54.1349,-165.772,12.0,"Akutan School, Akutan Volcano, Alaska"
AV,AKV,54.12591,-165.96234,905.0,"Akutan Volcano, Akutan Volcano, Alaska"
AV,AMKA,51.3784,179.3019,116.0,"Amchitka Island, Regional Station, Alaska"
AV,ANCK,58.198743,-155.4955,865.0,"Angle Creek, Katmai Volcanic Cluster, Alaska"
AV,ANIA,56.9048,-158.2316,930.0,"Aniakchak Volcano, Aniakchak Crater, Alaska"
AV,ANNE,56.9119,-158.061,705.0,"Aniakchak Northeast, Alaska"
AV,ANNQ,56.932754,-158.113103,371.0,"Aniakchak Nanwaq, Alaska"
AV,ANNW,56.9656,-158.217,816.0,"Aniakchak North West, Alaska"
AV,ANON,56.919,-158.1737,445.0,"Aniakchak Anonymous, Alaska"
AV,ANPB,56.80157,-158.28265,662.0,"Aniakchak Plenty Bear, Alaska"
AV,ANPK,56.8409,-158.1283,972.0,"Aniakchak Peak, Alaska"
AV,ANRM,56.8962,-158.2337,1037.0,"Aniakchak Rim, Alaska"
AV,ANSL,56.9316,-158.1384,344.0,"Aniakchak Surprise Lake, Alaska"
AV,ANVM,56.8858,-158.17509,591.3,"Aniakchak Vent Mountain, Alaska"
AV,AU11,59.359,-153.4826,234.0,"AU11, Augustine Volcano, Alaska"
